Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
26811.200000 2280.000000 1000.000000 270.000000 9.735417 -1.305908 -0.065450 
26811.600000 2280.000000 1000.000000 30.000000 6.547220 1.095152 0.269417 
26811.600000 2280.000000 1000.000000 150.000000 8.935128 0.394321 0.279748 
26811.600000 2280.000000 1000.000000 270.000000 9.745977 -1.317597 -0.054511 
26812.000000 2280.000000 1000.000000 30.000000 6.529371 1.062864 0.271468 
26812.000000 2280.000000 1000.000000 150.000000 8.992783 0.402261 0.256009 
26812.000000 2280.000000 1000.000000 270.000000 9.760040 -1.326619 -0.045612 
26812.400000 2280.000000 1000.000000 30.000000 6.519173 1.022224 0.270626 
26812.400000 2280.000000 1000.000000 150.000000 9.060713 0.396311 0.236067 
26812.400000 2280.000000 1000.000000 270.000000 9.772700 -1.333084 -0.040523 
26812.800000 2280.000000 1000.000000 30.000000 6.515270 0.973758 0.262917 
26812.800000 2280.000000 1000.000000 150.000000 9.133161 0.383969 0.214969 
26812.800000 2280.000000 1000.000000 270.000000 9.779980 -1.338510 -0.038842 
26813.200000 2280.000000 1000.000000 30.000000 6.515209 0.918811 0.243878 
26813.200000 2280.000000 1000.000000 150.000000 9.197600 0.373433 0.179334 
26813.200000 2280.000000 1000.000000 270.000000 9.779080 -1.343814 -0.038593 
26813.600000 2280.000000 1000.000000 30.000000 6.516476 0.860185 0.210553 
26813.600000 2280.000000 1000.000000 150.000000 9.243669 0.367835 0.118945 
26813.600000 2280.000000 1000.000000 270.000000 9.768370 -1.348027 -0.037340 
26814.000000 2280.000000 1000.000000 30.000000 6.518521 0.803161 0.163063 
26814.000000 2280.000000 1000.000000 150.000000 9.269861 0.366195 0.037717 
26814.000000 2280.000000 1000.000000 270.000000 9.747856 -1.348852 -0.032663 
26814.400000 2280.000000 1000.000000 30.000000 6.523614 0.754412 0.103656 
26814.400000 2280.000000 1000.000000 150.000000 9.284082 0.366600 -0.049868 
26814.400000 2280.000000 1000.000000 270.000000 9.719793 -1.344151 -0.022796 
26814.800000 2280.000000 1000.000000 30.000000 6.535544 0.719816 0.037602 
26814.800000 2280.000000 1000.000000 150.000000 9.294183 0.369535 -0.128282 
26814.800000 2280.000000 1000.000000 270.000000 9.688196 -1.332656 -0.007384 
26815.200000 2280.000000 1000.000000 30.000000 6.559508 0.702018 -0.029111 
26815.200000 2280.000000 1000.000000 150.000000 9.302652 0.379074 -0.187752 
26815.200000 2280.000000 1000.000000 270.000000 9.658095 -1.314083 0.011755 
26815.600000 2280.000000 1000.000000 30.000000 6.600624 0.698061 -0.090804 
26815.600000 2280.000000 1000.000000 150.000000 9.305678 0.400111 -0.223091 
26815.600000 2280.000000 1000.000000 270.000000 9.634835 -1.289134 0.030677 
26816.000000 2280.000000 1000.000000 30.000000 6.659908 0.700585 -0.142563 
26816.000000 2280.000000 1000.000000 150.000000 9.295878 0.435436 -0.231040 
26816.000000 2280.000000 1000.000000 270.000000 9.623104 -1.260082 0.044392 
26816.400000 2280.000000 1000.000000 30.000000 6.735133 0.701157 -0.180854 
26816.400000 2280.000000 1000.000000 150.000000 9.265709 0.483435 -0.209868 
26816.400000 2280.000000 1000.000000 270.000000 9.625573 -1.231142 0.049095 
26816.800000 2280.000000 1000.000000 30.000000 6.819718 0.692569 -0.204159 
26816.800000 2280.000000 1000.000000 150.000000 9.209967 0.537431 -0.161715 
26816.800000 2280.000000 1000.000000 270.000000 9.641988 -1.208151 0.044335 
26817.200000 2280.000000 1000.000000 30.000000 6.905159 0.671805 -0.214858 
26817.200000 2280.000000 1000.000000 150.000000 9.128145 0.587394 -0.095044 
26817.200000 2280.000000 1000.000000 270.000000 9.669403 -1.196354 0.033221 
26817.600000 2280.000000 1000.000000 30.000000 6.984332 0.640677 -0.217763 
26817.600000 2280.000000 1000.000000 150.000000 9.024881 0.623190 -0.024258 
26817.600000 2280.000000 1000.000000 270.000000 9.703410 -1.196554 0.020513 
26818.000000 2280.000000 1000.000000 30.000000 7.052792 0.605374 -0.219249 
26818.000000 2280.000000 1000.000000 150.000000 8.910236 0.636624 0.034799 
26818.000000 2280.000000 1000.000000 270.000000 9.739506 -1.204521 0.010257 
26818.400000 2280.000000 1000.000000 30.000000 7.108804 0.574492 -0.224692 
26818.400000 2280.000000 1000.000000 150.000000 8.799425 0.620941 0.073486 
26818.400000 2280.000000 1000.000000 270.000000 9.773762 -1.214438 0.003963 
26818.800000 2280.000000 1000.000000 30.000000 7.151978 0.556050 -0.237117 
26818.800000 2280.000000 1000.000000 150.000000 8.710629 0.569608 0.093236 
26818.800000 2280.000000 1000.000000 270.000000 9.803293 -1.222246 0.000329 
26819.200000 2280.000000 1000.000000 30.000000 7.181608 0.556816 -0.256864 
26819.200000 2280.000000 1000.000000 150.000000 8.659226 0.477489 0.104429 
26819.200000 2280.000000 1000.000000 270.000000 9.826038 -1.225056 -0.003546 
26819.600000 2280.000000 1000.000000 30.000000 7.196625 0.581467 -0.281224 
26819.600000 2280.000000 1000.000000 150.000000 8.651320 0.343942 0.118762 
26819.600000 2280.000000 1000.000000 270.000000 9.840026 -1.220658 -0.010224 
26820.000000 2280.000000 1000.000000 30.000000 7.195257 0.631439 -0.305475 
26820.000000 2280.000000 1000.000000 150.000000 8.679998 0.176084 0.139344 
26820.000000 2280.000000 1000.000000 270.000000 9.843148 -1.207548 -0.020367 
